UAL_promoter,Plate,Well,Strand,Reports_genes,Gene,Operon,Operon_name,Duplicated_reporting,Amplicons
ydgL,12,G10,1,rsxA,rsxA,NA,NA,rsxA,1
ydgR,15,F7,1,dtpA,dtpA,NA,NA,NA,1
ydhB,16,D3,-1,ydhB,ydhB,NA,NA,NA,1
ydhD,11,D4,-1,grxD,grxD,NA,NA,NA,1
ydhH,11,D3,-1,anmK,anmK,NA,NA,NA,1
ydhO,4,H6,1,mepH,mepH,NA,NA,NA,1
ydhP,16,C9,-1,"ydhP,ynhF","ydhP,ynhF",NA,NA,NA,1
ydhQ,8,F6,-1,ydhQ,ydhQ,NA,NA,NA,1
ydhR,15,F8,1,ydhR,ydhR,NA,NA,NA,1
ydhS,15,F9,1,ydhS,ydhS,NA,NA,NA,1
ydhZ,2,C2,-1,ydhZ,ydhZ,NA,NA,NA,1
ydiF,6,E9,1,"ydiF,ydiO",NA,"ydiF,ydiO",ydiFO,NA,1
ydiL,15,F11,1,"rprA,ydiL","rprA,ydiL",NA,NA,NA,1
ydiM,6,E8,1,ydiM,ydiM,NA,NA,NA,1
ydiP,2,H5,-1,ydiP,ydiP,NA,NA,NA,1
ydiQ,3,A5,1,"ydiQ,ydiR,ydiS,ydiT,fadK",NA,"ydiQ,ydiR,ydiS,ydiT,fadK",ydiQRST-fadK,ydiS,1
ydiS,6,E10,1,ydiS,ydiS,NA,NA,ydiS,1
ydiU,17,A11,-1,ydiU,ydiU,NA,NA,NA,1
