"UAL_promoter","Strand","Reports_genes","Gene","Operon","Operon_name","Duplicated_reporting"
"lysU",-1,"lysU","lysU",NA,NA,NA
"macA",1,"macA,macB",NA,"macA,macB","macAB",NA
"maeB",-1,"maeB","maeB",NA,NA,NA
"malE",-1,"malE,malF,malG",NA,"malE,malF,malG","malEFG","malF"
"malF",-1,"malF","malF",NA,NA,"malF"
"malI",-1,"malI","malI",NA,NA,NA
"malS",1,"malS","malS",NA,NA,NA
"malX",1,"malX,malY",NA,"malX,malY","malXY",NA
"manX",1,"manX,manY,manZ",NA,"manX,manY,manZ","manXYZ","manY"
"manY",1,"manY","manY",NA,NA,"manY"
"map",-1,"map,glnD,dapD",NA,"map,glnD,dapD","map-glnD-dapD",NA
"marC",-1,"marC","marC",NA,NA,NA
"marR",1,"marR,marA,marB",NA,"marR,marA,marB","marRAB",NA
"mazE",-1,"mazE","mazE",NA,NA,"mazE"
"mazG",-1,"mazG","mazG",NA,NA,"mazG"
"mcrA",1,"mcrA","mcrA",NA,NA,NA
"mcrB",-1,"mcrB,mcrC",NA,"mcrB,mcrC","mcrBC",NA
"mdoB",-1,"opgB","opgB",NA,NA,NA
"mdtG",-1,"mdtG","mdtG",NA,NA,NA
"mdtH",-1,"mdtH","mdtH",NA,NA,NA
"mdtK",1,"mdtK","mdtK",NA,NA,NA
"mdtN",-1,"mdtN,mdtO,mdtP,ytcA","ytcA","mdtN,mdtO,mdtP","mdtNOP","mdtO"
"mdtO",-1,"mdtO","mdtO",NA,NA,"mdtO"
"menD",-1,"menD","menD",NA,NA,"menD"
"menF",-1,"menF,menD,menH,menB,menC,menE",NA,"menF,menD,menH,menB,menC,menE","menFDHBCE","menD"
"metA",1,"metA","metA",NA,NA,NA
"metB",1,"metB,metL",NA,"metB,metL","metBL",NA
"metC",1,"metC","metC",NA,NA,NA
"metE",1,"metE","metE",NA,NA,NA
"metF",1,"metF","metF",NA,NA,NA
"metG",1,"metG","metG",NA,NA,NA
"metJ",-1,"metJ","metJ",NA,NA,NA
"metK",1,"metK","metK",NA,NA,NA
"metR",-1,"metR","metR",NA,NA,NA
"mfd",-1,"mfd","mfd",NA,NA,NA
"mglA",-1,"mglA","mglA",NA,NA,"mglA"
"mglB",-1,"mglB,mglA,mglC",NA,"mglB,mglA,mglC","mglBAC","mglA"
"mgsA",-1,"mgsA","mgsA",NA,NA,NA
"mhpR",-1,"mhpR,lacI",NA,"mhpR,lacI","mhpR-lacI","lacI"
"minC",-1,"minC,minD,minE",NA,"minC,minD,minE","minCDE",NA
"mipA",-1,"mipA","mipA",NA,NA,NA
"mlc",-1,"mlc,ynfK",NA,"mlc,ynfK","mlc-ynfK","ynfK"
"mltC",1,"mltC","mltC",NA,NA,"mltC"
"mltD",-1,"mltD","mltD",NA,NA,NA
"mngR",-1,"mngR","mngR",NA,NA,NA
"mntR",1,"mntR,ybiR",NA,"mntR,ybiR","mntR-ybiR",NA
"moaA",1,"moaA,moaB,moaC,moaD,moaE",NA,"moaA,moaB,moaC,moaD,moaE","moaABCDE",NA
"mobA",-1,"mobA,mobB",NA,"mobA,mobB","mobAB",NA
"modF",-1,"modF","modF",NA,NA,NA
"moeA",-1,"moeA,moeB",NA,"moeA,moeB","moeAB",NA
"mog",1,"mog","mog",NA,NA,NA
"molR_2",1,"molR_2","molR_2",NA,NA,NA
"motA",-1,"motA,motB,cheA,cheW",NA,"motA,motB,cheA,cheW","motAB-cheAW",NA
"mqo",-1,"mqo","mqo",NA,NA,NA
"mraZ",1,"mraZ,rsmH,ftsL,ftsI,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC",NA,"mraZ,rsmH,ftsL,ftsI,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC","mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC","murC,ftsQ,ftsZ,lpxC"
"mrcB",1,"mrcB","mrcB",NA,NA,NA
"mreC",-1,"mreC","mreC",NA,NA,NA
"mrp",-1,"mrp","mrp",NA,NA,NA
"mrr",1,"mrr","mrr",NA,NA,NA
"msbB",-1,"lpxM","lpxM",NA,NA,NA
"mscL",1,"mscL","mscL",NA,NA,NA
"mscS",-1,"mscS","mscS",NA,NA,NA
"msrA",-1,"msrA","msrA",NA,NA,NA
"mtr",-1,"mtr","mtr",NA,NA,NA
"mug",-1,"mug","mug",NA,NA,NA
"murA",-1,"murA","murA",NA,NA,"murA"
"murB",1,"murB,birA",NA,"murB,birA","murB-birA",NA
"murC",1,"murC","murC",NA,NA,"murC"
"mutH",1,"mutH","mutH",NA,NA,NA
"mutM",-1,"mutM","mutM",NA,NA,NA
"mutS",1,"mutS","mutS",NA,NA,NA
"mutT",1,"mutT","mutT",NA,NA,"mutT"
"mutY",1,"mutY,yggX,mltC,nupG",NA,"mutY,yggX,mltC,nupG","mutY-yggX-mltC-nupG","mltC,nupG"
"mviN",1,"murJ","murJ",NA,NA,NA
"nac",-1,"nac","nac",NA,NA,NA
"nadC",-1,"nadC","nadC",NA,NA,NA
"nadK",1,"nadK","nadK",NA,NA,NA
"nagA",-1,"nagA","nagA",NA,NA,"nagA"
"nagB",-1,"nagB,nagA,nagC,umpH",NA,"nagB,nagA,nagC,umpH","nagBAC-umpH","nagA"
"nagE",1,"nagE","nagE",NA,NA,NA
"nanA",-1,"nanA,nanT,nanE,nanK,yhcH",NA,"nanA,nanT,nanE,nanK,yhcH","nanATEK-yhcH","nanT"
"nanT",-1,"nanT","nanT",NA,NA,"nanT"
"napF",-1,"napF,napD,napA,napG,napH,napB,napC,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmG,ccmH",NA,"napF,napD,napA,napG,napH,napB,napC,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmG,ccmH","napFDAGHBC-ccmABCDEFGH",NA
"narQ",1,"narQ","narQ",NA,NA,NA
"narU",-1,"narU","narU",NA,NA,NA
"narX",-1,"narX,narL",NA,"narX,narL","narXL",NA
"narZ",-1,"narZ,narY,narW,narV",NA,"narZ,narY,narW,narV","narZYWV",NA
"ndh",1,"ndh","ndh",NA,NA,NA
"ndk",-1,"ndk","ndk",NA,NA,NA
"nfnB",-1,"nfsB","nfsB",NA,NA,NA
"nfo",1,"nfo","nfo",NA,NA,NA
"nfrB",-1,"nfrB,nfrA",NA,"nfrB,nfrA","nfrBA",NA
"nhaA",1,"nhaA,nhaR",NA,"nhaA,nhaR","nhaAR",NA
"nhoA",1,"nhoA","nhoA",NA,NA,NA
"nlpA",-1,"nlpA","nlpA",NA,NA,NA
"nlpC",-1,"nlpC","nlpC",NA,NA,NA
"nlpD",-1,"nlpD,rpoS",NA,"nlpD,rpoS","nlpD-rpoS","rpoS"
